seq,frame_num,cam_view,gait_pat,id,url,min_frame,max_frame,get_info_success,fps,start_time,end_time,download_video_success,video_path,crop_path,multi_person,poses_path
cljvwb1h6001p3n6l138k9qo4,484,left side,cerebral palsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,484,809,True,30.0,16.133,26.967,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/338R10fA_wU_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/338R10fA_wU_crop.mp4,False,
cljvwbtul001t3n6lu4qeic4a,889,left side,cerebral palsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,889,1138,True,30.0,29.633,37.933,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/338R10fA_wU_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/338R10fA_wU_crop.mp4,False,
cljvwe0ky00213n6l7qczieno,5115,right side,cerebral palsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,5115,5378,True,30.0,170.5,179.267,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/338R10fA_wU_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/338R10fA_wU_crop.mp4,False,
cljvwfmxb00293n6lyo0ffqwb,5761,right side,cerebral palsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,5761,6148,True,30.0,192.033,204.933,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/338R10fA_wU_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/338R10fA_wU_crop.mp4,False,
cljvwitht002p3n6ltwn2u183,7103,left side,cerebral palsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,7103,7348,True,30.0,236.767,244.933,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/338R10fA_wU_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/338R10fA_wU_crop.mp4,False,
cljvwjpf9002t3n6lho7y7owx,7365,left side,cerebral palsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,7365,7529,True,30.0,245.5,250.967,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/338R10fA_wU_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/338R10fA_wU_crop.mp4,False,
cljvwkifk002x3n6l7jeh6adi,7535,left side,cerebral palsy,338R10fA_wU,https://www.youtube.com/watch?v=338R10fA_wU,7535,7899,True,30.0,251.167,263.3,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/338R10fA_wU_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/338R10fA_wU_crop.mp4,False,
cljs0zfbo00043n6lp0sofeh2,40,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,40,67,True,24.0,1.667,2.792,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs10pvi00083n6ljjct68cc,82,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,82,166,True,24.0,3.417,6.917,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
cljs11rxw000c3n6ll6xgdtq5,179,right side,style,9126Bdjn8sg,https://www.youtube.com/watch?v=9126Bdjn8sg,179,260,True,24.0,7.458,10.833,True,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/9126Bdjn8sg_video.mp4,/content/drive/MyDrive/Estudos/IA_CD/Modelo_Treino_Marcha/processed/videos/crops/9126Bdjn8sg_crop.mp4,False,
